State,Year,Coal,Natural gas,Petroleum,Nuclear,Total renewable energy,TotalEnergy,PercentRenewable,PercentNonRenewable
SD,1977,35614,36097,104619,0,19955,196285,10.166339761061721,89.83366023893828
TN,1977,553721,208401,582671,0,103215,1448008,7.128068353213518,92.87193164678648
TX,1977,288187,4254885,3885371,0,74355,8502798,0.8744768486796934,99.12552315132031
UT,1977,132845,100999,211890,0,6394,452128,1.4142012881307948,98.5857987118692
VA,1977,187029,120734,900885,102103,68791,1379542,4.986510015642873,95.01348998435712
VT,1977,719,4025,77992,38097,12642,133475,9.471436598613973,90.52856340138602
WA,1977,102385,149077,600518,46468,305612,1204060,25.381791605069516,74.61820839493049
WI,1977,307515,354397,582503,117864,61728,1424007,4.334810151916388,95.66518984808361
WV,1977,847721,150605,235436,0,17697,1251459,1.4141094514482695,98.58589054855173
WY,1977,230740,78354,153243,0,4586,466923,0.982174791132585,99.01782520886742
US,1977,13907111,19972477,37082642,2701762,2613473,76277465,3.426271442030749,96.57372855796925
AK,1978,4689,145025,163486,0,7530,320730,2.3477691516228605,97.65223084837714
AL,1978,577580,244969,577713,249788,93491,1743541,5.362133726709036,94.63786627329097
AR,1978,22833,220898,421092,57113,60263,782199,7.704305426112792,92.2956945738872
AZ,1978,159980,186366,357372,0,31083,734801,4.230124890956871,95.76987510904313
CA,1978,67892,1646333,3654422,83801,297367,5749815,5.171766395962305,94.82823360403769
CO,1978,218619,234600,375010,6664,20056,854949,2.34587092329484,97.65412907670516
CT,1978,807,66038,563328,151674,23894,805741,2.9654690527104863,97.03453094728951
DC,1978,2017,26551,80033,0,193,108794,0.1773994889424049,99.8226005110576
DE,1978,21812,21263,181109,0,10667,234851,4.542028775691822,95.45797122430818
FL,1978,175522,333306,1580785,172977,63773,2326363,2.741317670544107,97.2586823294559
GA,1978,434380,286035,754682,46798,112073,1633968,6.858947054042674,93.14105294595733
HI,1978,0,0,235827,0,561,236388,0.2373216914564191,99.76267830854358
